INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,8.7617,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.5828,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.8292,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.3203,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.4627,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,1.4935,0,0,0,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,2.0197,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,1.1831,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,0.1775,0,3,3,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,j,0,space,1.066,0,4,4,2,1,Magenta is a color,f,2.6781,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,j,0,space,1.482,0,5,5,1,1,Dinosaurs are extinct,f,2.2067,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,1.4348,0,6,6,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,j,0,space,1.0163,0,7,7,3,1,A clock is used to tell time,f,1.7822,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,j,0,space,8.5126,0,8,8,0,1,A circle is a shape,f,1.7786,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,0,space,1.0392,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,2.1347,,,,,,,,,,j,0,3.0141,,0,0,0,98,1,A clock is used to tell time,f,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,2.8712,,,,,,,,,,j,0,3.8668,,0,1,1,2,1,A minute has an end,f,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,4.8148,,,,,,,,,,,0,,,0,2,2,3,1,A minute is endless,j,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,j,0,1.6571,,0,3,3,107,1,A pencil is used to write,f,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,2.1585,,,,,,,,,,,0,,,0,4,4,33,1,Numbers are infinite,f,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,0,,,0,5,5,28,1,Space cannot go on forever,j,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,1.0594,,,,,,,,,,,0,,,0,6,6,73,1,Bubbles can be put in a container,f,,,
,,,,,,,,1462,2022-04-06_16h02.55.664,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.97361161,,,space,0.7683,,,,,,,,,,,0,,,0,7,7,99,1,A motorcycle is a vehicle,f,,,
