FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,33.0073709100252,None,e,1.7654703309526667,34.988878841046244,None,,,,,,,,,,,,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,1,1,1,,,,,36.805778346024454,None,e,0.5925407550530508,38.78965612198226,None,,,,,,,,,,,,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,39.439336144016124,None,e,1.2284464439144358,41.40649228997063,None,,,,,,,,,,,,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,An inch cannot go on forever,e,,,,,0,0,0,4,,,,,,,42.70738671498839,43.206424792064354,43.19074201001786,None,e,1,4.742367979022674,43.19074201001786,None,46.18999240371632,46.38973081903532,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,Space has an end,i,,,,,0,1,1,1,,,,,,,47.97467154497281,48.491522717056796,48.456356449984014,None,i,1,2.9206454820232466,48.456356449984014,None,None,None,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,A minute is infinite,i,,,,,0,2,2,0,,,,,,,51.40753067401238,51.90772674407344,51.89123178902082,None,i,1,4.137174553005025,51.89123178902082,None,54.89148785568541,55.091038946062326,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,Time  goes on forever,e,,,,,0,3,3,2,,,,,,,56.058145030983724,56.57476609502919,56.54028323304374,61.54110762407072,None,0,,56.54028323304374,None,59.54136507572839,None,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,Numbers are finite,i,,,,,0,4,4,3,,,,,,,62.04074756603222,62.541433786042035,62.525570402969606,None,i,1,1.3131610170239583,62.525570402969606,62.04074756603222,None,None,,,,,,,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.87512423703447,None,e,0.9341546540381387,63.87512423703447,None,1111,001,2021_Nov_21_1225,InfinityThesisTest5,2021.2.3,59.99235447143233,
