INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,9.215,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,14.7372,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.6825,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.1477,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,1,1.6819,space,2.0401,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,1,1.6192,space,2.292,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,1,0.9107,space,3.4363,0,2,2,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,1,1.4947,space,1.1543,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,0,1.1729,space,3.4749,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,j,1,1.4946,space,0.9832,0,5,5,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,j,1,1.7801,space,1.3457,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,f,1,1.1421,space,0.6764,0,7,7,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,j,1,1.2919,space,0.7526,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,j,1,1.2945,space,1.2674,0,9,9,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.8052,,,,,,,,,f,1,2.5251,,0,0,0,73,1,Bubbles can be put in a container,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3199,,,,,,,,,j,1,1.0934,,0,1,1,115,1,Yellow is an animal,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.5424,,,,,,,,,j,1,1.6984,,0,2,2,117,1,Dolphins cannot swim in the ocean,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.7205,,,,,,,,,f,1,1.8648,,0,3,3,40,1,The number five is finite,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6341,,,,,,,,,f,1,1.6552,,0,4,4,76,1,Pollen has a molecular structure,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4908,,,,,,,,,j,1,2.2909,,0,5,5,22,1,Time cannot always be further divided,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.8353,,,,,,,,,f,1,1.8809,,0,6,6,74,1,Foam is composed of matter,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4999,,,,,,,,,j,1,1.0905,,0,7,7,82,1,Stones reproduce,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.5347,,,,,,,,,j,1,1.4185,,0,8,8,1,1,A minute is infinite,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4932,,,,,,,,,f,1,1.4146,,0,9,9,106,1,Humans cannot breathe water,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.879,,,,,,,,,f,1,2.0348,,0,10,10,71,1,Oaks reproduce,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.7203,,,,,,,,,j,1,1.6437,,0,11,11,108,1,This sentence is written in Spanish,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4939,,,,,,,,,f,1,1.2483,,0,12,12,103,1,The United States is a country,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4838,,,,,,,,,f,1,1.4613,,0,13,13,72,1,Mushrooms reproduce,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6343,,,,,,,,,j,1,1.5837,,0,14,14,67,1,Gravity has a molecular structure,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6733,,,,,,,,,j,0,2.7286,,0,15,15,23,1,Time can always be further divided,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3677,,,,,,,,,f,1,1.7572,,0,16,16,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6764,,,,,,,,,f,0,1.8059,,0,17,17,6,1,A minute cannot always be further divided,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4338,,,,,,,,,f,1,1.3183,,0,18,18,19,1,Time is endless,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.605,,,,,,,,,j,1,2.0688,,0,19,19,83,1,Songs can be put in a container,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.34,,,,,,,,,j,1,1.5359,,0,20,20,43,1,The number five is endless,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6003,,,,,,,,,j,1,1.646,,0,21,21,24,1,Space is finite,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4129,,,,,,,,,j,1,1.1011,,0,22,22,61,1,Sailboats reproduce,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4841,,,,,,,,,f,1,1.3797,,0,23,23,55,1,Concrete is composed of matter,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3524,,,,,,,,,j,1,1.3662,,0,24,24,45,1,The number five can go on forever,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4429,,,,,,,,,f,1,1.684,,0,25,25,54,1,Dumbells are composed of matter,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.6011,,,,,,,,,f,1,1.0187,,0,26,26,25,1,Space is infinite,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.355,,,,,,,,,j,1,0.8506,,0,27,27,81,1,Tables reproduce,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3836,,,,,,,,,j,1,1.0999,,0,28,28,5,1,A minute can go on forever,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3066,,,,,,,,,f,1,0.8366,,0,29,29,52,1,Frogs reproduce,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,1.0671,,,,,,,,,j,1,1.65,,0,30,30,125,1,There are ninty states in the United States,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3074,,,,,,,,,f,1,1.0184,,0,31,31,100,1,A truck is a vehicle,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3023,,,,,,,,,f,1,0.8092,,0,32,32,48,1,Crocodiles are alive,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4537,,,,,,,,,f,1,1.2033,,0,33,33,44,1,The number five cannot go on forever,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3151,,,,,,,,,f,1,1.0082,,0,34,34,4,1,A minute cannot go on forever,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.4205,,,,,,,,,f,1,1.2243,,0,35,35,2,1,A minute has an end,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.9165,,,,,,,,,j,1,1.0611,,0,36,36,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.2845,,,,,,,,,f,1,0.9053,,0,37,37,51,1,Tigers reproduce,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3668,,,,,,,,,f,1,2.4344,,0,38,38,92,1,Dinosaurs are extinct,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3843,,,,,,,,,j,1,1.293,,0,39,39,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,1.1179,,,,,,,,,j,1,2.3099,space,0,40,40,9,1,An inch is infinite,j,0.7544,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.693,,,,,,,,,j,0,1.9496,,0,41,41,15,1,An inch can be always further divided,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.344,,,,,,,,,j,1,1.1771,,0,42,42,86,1,Words have a molecular structure,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.437,,,,,,,,,j,1,1.7077,,0,43,43,63,1,Color can be put in a container,j,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3282,,,,,,,,,f,1,1.2264,,0,44,44,21,1,Time can go on forever,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.2837,,,,,,,,,f,1,1.1679,,0,45,45,29,1,Space can go on forever,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3367,,,,,,,,,f,1,1.3013,,0,46,46,35,1,Numbers are endless,f,,,
,,,,,,,,3575,2022-04-06_18h39.59.089,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.98080614,,,,space,0.3036,,,,,,,,,j,1,0.9515,,0,47,47,79,1,Forks are alive,j,,,
