INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,6.6864,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,15.9781,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.1678,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.4927,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.0577,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,f,1,1.5068,space,1.2632,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,1,1.6916,space,2.2845,0,1,1,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,1,1.5576,space,1.1192,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,f,1,1.2706,space,1.176,0,3,3,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,1,1.2013,space,0.9757,0,4,4,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,f,1,1.0347,space,1.0769,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,1,0.905,space,0.6365,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,1,1.5491,space,0.9682,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,f,1,0.921,space,0.6498,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,j,0,1.1977,space,0.9415,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.9997,,,,,,,,space,1.6004,j,1,1.0938,,0,0,0,118,1,A horse is used to tell time,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,1.8929,,,,,,,,,,f,1,2.2634,,0,1,1,42,1,The number five has an end,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,1.198,,,,,,,,,,f,1,2.1587,,0,2,2,75,1,Frost is composed of matter,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.7178,,,,,,,,,,f,1,1.0965,,0,3,3,70,1,Grass needs nutrients,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,1.2676,,,,,,,,,,j,1,1.4019,,0,4,4,43,1,The number five is endless,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.9153,,,,,,,,,,f,1,1.8165,,0,5,5,15,1,An inch can be always further divided,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.6369,,,,,,,,,,f,1,1.0137,,0,6,6,71,1,Oaks reproduce,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.6848,,,,,,,,,,j,1,1.738,,0,7,7,26,1,Space has an end,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,1.4171,,,,,,,,,,f,0,1.1245,,0,8,8,32,1,Numbers are finite,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.6905,,,,,,,,,,f,1,0.9644,,0,9,9,27,1,Space is endless,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.6704,,,,,,,,,,f,1,1.6102,,0,10,10,21,1,Time can go on forever,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.5901,,,,,,,,,,j,1,1.6678,,0,11,11,85,1,Thoughts are composed of matter,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.6017,,,,,,,,,,f,1,1.524,,0,12,12,10,1,An inch has an end,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.5692,,,,,,,,,,f,1,1.2685,,0,13,13,40,1,The number five is finite,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.5418,,,,,,,,,,f,1,1.0005,,0,14,14,97,1,Dolphins can swim in the ocean,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.3355,,,,,,,,,,j,1,0.8324,,0,15,15,113,1,Magenta is a shape,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.3469,,,,,,,,,,f,1,0.6508,,0,16,16,102,1,The Earth is a planet,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.2538,,,,,,,,,,j,1,1.1625,,0,17,17,45,1,The number five can go on forever,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.2898,,,,,,,,,,j,0,1.2193,,0,18,18,33,1,Numbers are infinite,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,1.0461,,,,,,,,,,f,0,1.7845,,0,19,19,16,1,Time is finite,j,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.2848,,,,,,,,,,f,1,1.5311,,0,20,20,12,1,An inch cannot go on forever,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.2499,,,,,,,,,,f,1,0.9322,,0,21,21,8,1,An inch is finite,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.5012,,,,,,,,,,f,1,2.0077,,0,22,22,31,1,Space can always be further divided,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.289,,,,,,,,,,f,1,0.9564,,0,23,23,48,1,Crocodiles are alive,f,,
,,,,,,,,9370,2022-04-06_16h07.42.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94125757,,,,space,0.2711,,,,,,,,,,j,1,1.0381,,0,24,24,60,1,Robots need nutrients,j,,
