INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,12.139,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,22.923,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.7,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.685,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.4,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,j,1,1.465,space,2.301,0,0,0,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,f,1,1.816,space,2.972,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,j,1,1.316,space,1.001,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,f,1,1.716,space,1.06,0,3,3,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,j,1,1.523,space,0.942,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,f,1,2.374,space,1.623,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,0,,space,1.985,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,f,1,1.454,space,0.585,0,7,7,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,j,1,1.505,space,0.475,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,j,1,1.102,space,0.458,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,2.558,,,,,,,,space,2.557,f,1,1.413,,0,0,0,103,1,The United States is a country,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.689,,,,,,,,,,j,1,2.623,,0,1,1,118,1,A horse is used to tell time,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.435,,,,,,,,,,f,1,1.003,,0,2,2,95,1,Yellow is a color,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.468,,,,,,,,,,j,1,1.303,,0,3,3,81,1,Tables reproduce,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.485,,,,,,,,,,j,1,1.746,,0,4,4,13,1,An inch can go on forever,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.419,,,,,,,,,,j,1,2.188,,0,5,5,36,1,Numbers cannot go on forever,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.406,,,,,,,,,,f,1,2.088,,0,6,6,74,1,Foam is composed of matter,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.702,,,,,,,,,,f,0,2.966,,0,7,7,6,1,A minute cannot always be further divided,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.652,,,,,,,,,,f,1,1.203,,0,8,8,99,1,A motorcycle is a vehicle,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.354,,,,,,,,,,f,1,1.398,,0,9,9,52,1,Frogs reproduce,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.437,,,,,,,,,,j,1,1.348,,0,10,10,61,1,Sailboats reproduce,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.517,,,,,,,,,,f,1,1.702,,0,11,11,93,1,Magenta is a color,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.338,,,,,,,,,,f,1,1.305,,0,12,12,107,1,A pencil is used to write,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.336,,,,,,,,,,f,0,1.473,,0,13,13,5,1,A minute can go on forever,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.305,,,,,,,,,,f,1,1.529,,0,14,14,33,1,Numbers are infinite,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.302,,,,,,,,,,j,1,2.579,,0,15,15,14,1,An inch cannot always be further divided,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.369,,,,,,,,,,f,1,1.705,,0,16,16,92,1,Dinosaurs are extinct,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.669,,,,,,,,,,j,0,0.847,,0,17,17,71,1,Oaks reproduce,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.523,,,,,,,,,,f,0,2.566,,0,18,18,116,1,Fish cannot swim in the ocean,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.475,,,,,,,,,,f,1,1.717,,0,19,19,29,1,Space can go on forever,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.219,,,,,,,,,,f,1,1.406,,0,20,20,98,1,A clock is used to tell time,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.293,,,,,,,,,,f,1,1.082,,0,21,21,102,1,The Earth is a planet,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.273,,,,,,,,,,f,1,2.274,,0,22,22,89,1,A square is a shape,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.35,,,,,,,,,,f,1,2.1,,0,23,23,53,1,Bricks can be put in a container,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.286,,,,,,,,,,f,0,2.118,,0,24,24,9,1,An inch is infinite,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.435,,,,,,,,,,j,1,1.231,,0,25,25,58,1,Clocks are alive,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.521,,,,,,,,,,f,1,1.746,,0,26,26,39,1,Numbers can always be further divided,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.367,,,,,,,,,,j,1,2.085,,0,27,27,65,1,Shadows are composed of matter,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.754,,,,,,,,,,f,0,1.615,,0,28,28,3,1,A minute is endless,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.841,,,,,,,,,,j,0,2.449,,0,29,29,12,1,An inch cannot go on forever,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.619,,,,,,,,,,j,1,2.117,,0,30,30,66,1,Music has a molecular structure,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.652,,,,,,,,,,f,0,2.55,,0,31,31,122,1,The Earth is a star,j,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.4,,,,,,,,,,j,0,2.765,,0,32,32,8,1,An inch is finite,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.403,,,,,,,,,,f,1,2.301,,0,33,33,55,1,Concrete is composed of matter,f,,
,,,,,,,,9368,2022-04-06_16h10.24.454,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,space,0.32,,,,,,,,,,f,1,1.2,,0,34,34,37,1,Numbers can go on forever,f,,
