Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is infinite,i,1.0,20.105789184570312,20.105789184570312,0.0,,,,19.62166976928711,19.62166976928711,0.0,20.121654510498047,20.121654510498047,0.0,1.0,1.0,0.0,'i',1.2383618354797363,1.2383618354797363,0.0,20.105789184570312,20.105789184570312,0.0,,0.0
Space has an end,i,1.0,31.95339584350586,31.95339584350586,0.0,,,,31.457406997680664,31.457406997680664,0.0,31.972396850585938,31.972396850585938,0.0,1.0,1.0,0.0,'i',1.2183247804641724,1.2183247804641724,0.0,31.95339584350586,31.95339584350586,0.0,,4.0
Time  goes on forever,e,1.0,21.872154235839844,21.872154235839844,0.0,,,,21.38933753967285,21.38933753967285,0.0,21.888484954833984,21.888484954833984,0.0,1.0,1.0,0.0,'e',0.711895763874054,0.711895763874054,0.0,21.872154235839844,21.872154235839844,0.0,,1.0
Numbers are finite,i,1.0,28.03917694091797,28.03917694091797,0.0,,31.039757039782124,,27.556947708129883,27.556947708129883,0.0,28.072553634643555,28.072553634643555,0.0,1.0,1.0,0.0,'i',3.3915374279022217,3.3915374279022217,0.0,28.03917694091797,28.03917694091797,0.0,,3.0
An inch cannot go on forever,e,1.0,23.088991165161133,23.088991165161133,0.0,,26.105478267685974,,22.622264862060547,22.622264862060547,0.0,23.121578216552734,23.121578216552734,0.0,1.0,1.0,0.0,'e',4.44627571105957,4.44627571105957,0.0,23.088991165161133,23.088991165161133,0.0,,2.0

extraInfo
participant,1115
session,001
date,2021_Nov_21_1228
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.706573860749195
