testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,Demographics1[0].index,Demographics1[0].itemText,Demographics1[0].type,Demographics1[0].granularity,Demographics1[0].font,Demographics1[0].markerColor,Demographics1[0].response,Demographics1[0].rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,What is your age?,choice,None,None,None,18-24,19.407937443989795,,,,,,,,,,,,,,0,001,2022_Jan_29_1518,InfinityThesisTest5,2021.2.3,60.042924566267516,
,,,,,,,,,,,,11.898536637017969,None,1,20.308848734013736,20.30885579396272,-0.44555555555555554,-0.37,1,0,0,button,0.0076717177871614695,None,0,001,2022_Jan_29_1518,InfinityThesisTest5,2021.2.3,60.042924566267516,
