INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,14.5593,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,12.0251,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.696,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.5175,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,f,1,2.41,space,3.9797,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,j,1,1.184,space,0.2971,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,f,1,0.6865,space,0.2509,0,2,2,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,j,1,1.0998,space,0.1504,0,3,3,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,f,1,0.7526,space,0.1831,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,f,1,1.0838,space,0.1847,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,f,1,2.0066,space,0.4442,0,6,6,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,j,1,1.0259,space,4.3676,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,j,1,1.8583,space,0.3042,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,j,1,2.2186,space,0.2671,0,9,9,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.5841,,,,,,,,,j,1,3.5097,,0,0,0,9,1,An inch is infinite,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.3505,,,,,,,,,,0,,,0,1,1,52,1,Frogs reproduce,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,2.7512,,,,,,,,,f,1,1.456,,0,2,2,2,1,A minute has an end,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.2446,,,,,,,,,f,1,2.8475,,0,3,3,72,1,Mushrooms reproduce,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.3674,,,,,,,,,f,1,2.6299,,0,4,4,39,1,Numbers can always be further divided,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.3155,,,,,,,,,j,1,2.1337,,0,5,5,115,1,Yellow is an animal,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1842,,,,,,,,,j,1,1.5841,,0,6,6,81,1,Tables reproduce,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.2117,,,,,,,,,j,1,1.7007,,0,7,7,124,1,The president of the United States is Oprah,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.3344,,,,,,,,,j,1,2.2151,,0,8,8,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1472,,,,,,,,,j,1,1.6875,,0,9,9,120,1,A truck is an animal,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.3172,,,,,,,,,f,1,2.1001,,0,10,10,106,1,Humans cannot breathe water,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1338,,,,,,,,,f,1,2.3083,,0,11,11,23,1,Time can always be further divided,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.2122,,,,,,,,,j,1,2.0003,,0,12,12,5,1,A minute can go on forever,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1502,,,,,,,,,f,0,1.9343,,0,13,13,32,1,Numbers are finite,j,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1968,,,,,,,,,f,1,1.7177,,0,14,14,103,1,The United States is a country,f,,,
,,,,,,,,2377,2022-04-06_16h18.23.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.96641881,,,,space,0.1172,,,,,,,,,f,1,2.1674,,0,15,15,25,1,Space is infinite,f,,,
