FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Space is endless,e,,,,,0,16,16,51,,,,,,,80.54121279506944,80.99147810798604,81.02461652900092,None,e,1,2.2119006959255785,81.02461652900092,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals are endless,i,,,,,0,17,17,27,,,,,,,83.2577002060134,83.70806603704114,83.74176582798827,None,i,1,1.622504135943018,83.74176582798827,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals have an end,e,,,,,0,18,18,26,,,,,,,85.39230317506008,85.84078088600654,85.87459573405795,None,e,1,1.6305496519198641,85.87459573405795,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Diamonds have a molecular structure,e,,,,,0,19,19,80,,,,,,,87.54133245104458,87.99216707702726,88.02529450703878,None,e,1,1.4228182879742235,88.02529450703878,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Orange is a shape,i,,,,,0,20,20,138,,,,,,,89.47554417303763,89.92489452008158,89.95887141302228,None,i,1,1.6991397850215435,89.95887141302228,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time is endless,e,,,,,0,21,21,43,,,,,,,91.6918465050403,92.14216270006727,92.15879869798664,None,e,1,1.048058587941341,92.15879869798664,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Music have a molecular structure,i,,,,,0,22,22,90,,,,,,,93.22489222802687,93.67585810599849,93.70813691103831,None,i,1,3.5134741719812155,93.70813691103831,None,96.70846601137892,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time can go on forever,e,,,,,0,23,23,45,,,,,,,97.24290847906377,97.69172669399995,97.72602442197967,None,e,1,1.1334425079403445,97.72602442197967,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Shadows are composed of matter,i,,,,,0,24,24,89,,,,,,,98.89283969101962,99.34259324904997,99.37586612498853,None,i,1,2.217399199027568,99.37586612498853,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Five cannot be further divided,i,,,,,0,25,25,70,,,,,,,101.64294068003073,102.09279844199773,102.12552488897927,None,i,1,2.1465816309209913,102.12552488897927,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A triangle is a shape,e,,,,,0,26,26,114,,,,,,,104.29265900398605,104.74282459903043,104.77618909499142,None,e,1,1.1117965199518949,104.77618909499142,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Stories are composed of matter,i,,,,,0,27,27,108,,,,,,,105.91032916202676,106.36028139898553,106.39285598904826,None,i,1,1.5240657459944487,106.39285598904826,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Numerical intervals are endless,i,,,,,0,28,28,35,,,,,,,107.96051108802203,108.40962835599203,108.42610280809458,None,i,1,1.909717259928584,108.42610280809458,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Five can be further divided,e,,,,,0,29,29,71,,,,,,,110.3599771260051,110.80986841802951,110.84354411403183,None,e,1,4.36401829496026,110.84354411403183,None,113.84525141438935,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Songs can be put in a container,i,,,,,0,30,30,107,,,,,,,115.22617771604564,115.67690797604155,115.71053129702341,None,i,1,1.3277524040313438,115.71053129702341,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A square is a shape,e,,,,,0,31,31,113,,,,,,,117.06068068603054,117.51068231998943,117.54321720602456,None,e,1,1.0970859379740432,117.54321720602456,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Numerical intervals can be further divided,e,,,,,0,32,32,39,,,,,,,118.66014102404006,119.11078291106969,119.14463357208297,None,e,1,2.9989388870308176,119.14463357208297,None,122.14374886632432,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Dinosaurs are not extinct,i,,,,,0,33,33,136,,,,,,,122.16127198399045,122.62798096507322,122.64422815607395,None,i,1,1.096784777007997,122.64422815607395,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,This sentence is written in English,e,,,,,0,34,34,112,,,,,,,123.76133015507367,124.22815104201436,124.24441609007772,None,e,1,0.8833458840381354,124.24441609007772,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Space can be further divided,e,,,,,0,35,35,55,,,,,,,125.16047968599014,125.6114318080945,125.64450524700806,None,e,1,4.201932477997616,125.64450524700806,None,128.645148907369,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Numerical intervals are infinite,i,,,,,0,36,36,33,,,,,,,129.87833713402506,130.32990170503035,130.36177861108445,None,e,0,0.9843072739895433,130.36177861108445,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Number is endless,e,,,,,0,37,37,59,,,,,,,131.39477532403544,131.84411708207335,131.87811281706672,None,e,1,1.012109157978557,131.87811281706672,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,There are fifty states in the United States,e,,,,,0,38,38,129,,,,,,,132.9128269359935,133.3620936140651,133.3942193640396,None,e,1,0.9107589418999851,133.3942193640396,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Color can be put in a container,i,,,,,0,39,39,87,,,,,,,134.34515906102024,134.79559257102665,134.81230580899864,None,i,1,1.1456397860310972,134.81230580899864,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Humans cannot breathe water,e,,,,,0,40,40,130,,,,,,,135.97769320907537,136.42837306600995,136.4617203740636,None,e,1,1.461955129983835,136.4617203740636,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,The Earth is a star,i,,,,,0,41,41,146,,,,,,,137.94574339105748,138.39576277206652,138.42827142903116,None,i,1,1.3495253480505198,138.42827142903116,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,The president of the United States is Oprah,i,,,,,0,42,42,148,,,,,,,139.79590766504407,140.24552488408517,140.27888099907432,None,e,0,1.4026883710175753,140.27888099907432,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A truck is an animal,i,,,,,0,43,43,144,,,,,,,141.7121370009845,142.16221610899083,142.1955194490729,None,i,1,3.273670410970226,142.1955194490729,None,145.1960485973861,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Numerical intervals can go on forever,i,,,,,0,44,44,37,,,,,,,145.49587278498802,145.94616016803775,145.97956836305093,None,i,1,3.569529713015072,145.97956836305093,None,148.97975531236733,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Turtles need nutrients,e,,,,,0,45,45,74,,,,,,,149.5787795720389,150.0297302780673,150.06282431806903,None,e,1,3.8193229269236326,150.06282431806903,None,153.06214668338652,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,The United States is a country,e,,,,,0,46,46,127,,,,,,,153.91300229600165,154.3630914540263,154.3970089519862,None,e,1,1.0530655949842185,154.3970089519862,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Echoes is composed of matter,i,,,,,0,47,47,88,,,,,,,155.48040832707193,155.93025496404152,155.96347293199506,None,i,1,2.6272227599984035,155.96347293199506,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Magenta is a color,e,,,,,0,48,48,117,,,,,,,158.61355644103605,159.06342754000798,159.0962576030288,None,e,1,0.9003034010529518,159.0962576030288,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Number is finite,i,,,,,0,49,49,56,,,,,,,160.0291903250618,160.48019689507782,160.51443443703465,None,i,1,0.9791506739566103,160.51443443703465,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time cannot be further divided,i,,,,,0,50,50,46,,,,,,,161.51407300308347,161.96341971307993,161.99685038498137,None,i,1,1.852504608919844,161.99685038498137,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A minute is finite,e,,,,,0,51,51,0,,,,,,,163.88034840801265,164.33013133902568,164.36322562303394,None,i,0,2.106977922958322,164.36322562303394,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Yellow is a color,e,,,,,0,52,52,119,,,,,,,166.51456517598126,166.9645667260047,166.9972004670417,None,e,1,0.9001759870443493,166.9972004670417,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Magenta is a shape,i,,,,,0,53,53,137,,,,,,,167.91344629100058,168.36395979102235,168.39761939109303,None,i,1,2.3003301849821582,168.39761939109303,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,An inch is endless,i,,,,,0,54,54,11,,,,,,,170.7302044479875,171.17999759700615,171.21345196501352,None,i,1,1.3783410930773243,171.21345196501352,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Five is infinite,i,,,,,0,55,55,65,,,,,,,172.61420453700703,173.06464001198765,173.09789949201513,None,i,1,1.2652382119558752,173.09789949201513,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Humans cannot eat food,i,,,,,0,56,56,141,,,,,,,174.3805919290753,174.8315894540865,174.86464957904536,None,i,1,1.1890951140085235,174.86464957904536,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Tables reproduce,i,,,,,0,57,57,105,,,,,,,176.08121690002736,176.53133343707304,176.56461084005423,None,i,1,1.0740410439902917,176.56461084005423,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
