FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.38800727001217,None,f,0.8133338710031239,49.37213252900983,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Mississippi is a country,j,,,,,,,,,0,0,0,147,,,,,,,,,,,,,,,,,,,,,,,,50.25659349300258,50.721822377003264,50.73879997400218,None,f,0,1.2356638130004285,50.73879997400218,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,A minute can be further divided,f,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,52.00490003300365,52.455486118007684,52.48829843000567,None,f,1,0.1290072730043903,52.48829843000567,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Oaks reproduce,f,,,,,,,,,0,2,2,95,,,,,,,,,,,,,,,,,,,,,,,,52.63862853200408,53.089188651007134,53.1218995800009,None,f,1,0.15941813099198043,53.1218995800009,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Time has an end,j,,,,,,,,,0,3,3,42,,,,,,,,,,,,,,,,,,,,,,,,53.32159517600667,53.77211076600361,53.805155047011795,None,f,0,0.14927125599933788,53.805155047011795,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Robots need nutrients,j,,,,,,,,,0,4,4,84,,,,,,,,,,,,,,,,,,,,,,,,53.98888644001272,54.438728011009516,54.471616923008696,None,f,0,0.15067605100921355,54.471616923008696,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Space is endless,f,,,,,,,,,0,5,5,51,,,,,,,,,,,,,,,,,,,,,,,,54.65544051300094,55.105229308013804,55.139777816002606,None,f,1,0.14052800799254328,55.139777816002606,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Numbers have an end,j,,,,,,,,,0,6,6,58,,,,,,,,,,,,,,,,,,,,,,,,55.306699927008594,55.756443198013585,55.79001157901075,None,f,0,0.12920437000866514,55.79001157901075,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Numbers cannot be further divided,j,,,,,,,,,0,7,7,62,,,,,,,,,,,,,,,,,,,,,,,,55.93940633400052,56.388691053012735,56.42230749400915,None,f,0,0.12295963399810717,56.42230749400915,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,,,Spatial intervals can be further divided,f,,,,,,,,,0,8,8,31,,,,,,,,,,,,,,,,,,,,,,,,56.572398383999825,57.02304566701059,57.05667480100237,None,f,1,0.13049409000086598,57.05667480100237,None,None,None,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
