testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,Demographics1[0].index,Demographics1[0].itemText,Demographics1[0].type,Demographics1[0].granularity,Demographics1[0].font,Demographics1[0].markerColor,Demographics1[0].response,Demographics1[0].rt,Demographics1[1].index,Demographics1[1].itemText,Demographics1[1].type,Demographics1[1].granularity,Demographics1[1].font,Demographics1[1].markerColor,Demographics1[1].response,Demographics1[1].rt,Demographics1[2].index,Demographics1[2].itemText,Demographics1[2].type,Demographics1[2].granularity,Demographics1[2].font,Demographics1[2].markerColor,Demographics1[2].response,Demographics1[2].rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,What is your age?,choice,None,None,None,18-24,9.958206283000095,2,What level of education have you completed?,choice,None,None,None,I prefer not to say,10.575680164000005,3,What subject did you study in school? ,choice,None,None,None,No educational experience outside of high school,11.227413722000051,,,,,,,,,,,,,,9,001,2022_Jan_30_1316,InfinityThesisTest5,2021.2.3,60.09294299066762,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.828064170999937,None,1,11.866671006999923,11.866679868999995,0.15666666666666668,-0.3388888888888889,1,0,0,button,0.016323257499493593,None,9,001,2022_Jan_30_1316,InfinityThesisTest5,2021.2.3,60.09294299066762,
