INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,6.214,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.078,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.857,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.467,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.666,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,j,1,1.779,space,1.132,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,f,1,1.239,space,1.335,0,1,1,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,f,0,1.779,space,1.037,0,2,2,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,j,0,1.366,space,0.949,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,j,1,1.481,space,1.427,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,j,1,1.601,space,1.548,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,3957,2022-03-31_15h41.45.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.09615385,f,1,1.415,space,1.896,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
