INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,10.9637,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.2219,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.1628,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.7983,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.8263,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.4818,space,1.9766,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.4911,space,1.0936,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.1766,space,1.4386,0,2,2,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.2534,space,0.8928,0,3,3,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.393,space,0.3175,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.1911,space,0.2368,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.5687,space,0.2131,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.0538,space,0.6145,0,7,7,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.7943,space,0.8523,0,8,8,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.7082,space,0.7314,0,9,9,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.6006,,,,,,,,,f,1,2.0579,,0,0,0,55,1,Concrete is composed of matter,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,5.3161,,,,,,,,,j,1,1.0233,,0,1,1,110,1,A triangle is an animal,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3404,,,,,,,,,f,1,1.0023,,0,2,2,48,1,Crocodiles are alive,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.2122,,,,,,,,,j,1,1.1914,,0,3,3,127,1,A zebra is used to write,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.2351,,,,,,,,,f,1,1.1497,,0,4,4,100,1,A truck is a vehicle,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.0447,,,,,,,,,f,0,1.6271,,0,5,5,18,1,Time has an end,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.2458,,,,,,,,,f,1,1.3195,,0,6,6,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.6729,,,,,,,,,f,0,1.5712,,0,7,7,86,1,Words have a molecular structure,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4389,,,,,,,,,f,1,1.7115,,0,8,8,72,1,Mushrooms reproduce,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.2017,,,,,,,,,f,1,0.8457,,0,9,9,89,1,A square is a shape,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.5683,,,,,,,,,f,1,1.6099,,0,10,10,47,1,The number five can always be further divided,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.1431,,,,,,,,,j,1,1.0085,,0,11,11,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.605,,,,,,,,,j,0,1.9629,,0,12,12,33,1,Numbers are infinite,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.2627,,,,,,,,,f,1,1.1671,,0,13,13,70,1,Grass needs nutrients,f,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.1531,,,,,,,,,j,1,1.3676,,0,14,14,65,1,Shadows are composed of matter,j,,,
,,,,,,,,9567,2022-04-06_19h21.36.094,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.1363,,,,,,,,,j,1,1.3836,,0,15,15,78,1,Hammers are alive,j,,,
