INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,4.7903,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.1427,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.7544,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.5361,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2583,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,f,1,1.3624,space,0.801,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,0,1.0102,space,0.9101,0,1,1,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,1,0.9616,space,0.4845,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,f,1,0.8741,space,0.572,0,3,3,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,1,0.7107,space,0.3682,0,4,4,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,f,1,0.6831,space,0.3943,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,f,1,0.6621,space,0.4009,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,1,1.0532,space,0.6108,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,1,0.8498,space,0.7116,0,8,8,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,j,1,0.8761,space,0.4456,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,space,0.5679,,,,,,,,space,1.4568,j,1,1.3326,,0,0,0,43,1,The number five is endless,j,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,space,0.4995,,,,,,,,,,f,1,0.9373,,0,1,1,89,1,A square is a shape,f,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,space,0.5121,,,,,,,,,,j,0,1.3042,,0,2,2,68,1,Algae is alive,f,,,
,,,,,,,,8081,2022-03-31_14h22.20.511,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.70908208,,,,space,0.7276,,,,,,,,,,j,1,1.7048,,0,3,3,6,1,A minute cannot always be further divided,j,,,
